관광지명,주소,타입,경도,위도,firstimage,tel
갈산공원,서울특별시 양천구 신정동 162-56,12,126.8684105358,37.5061176314,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image2_1.jpg,
갈현동할머니떡볶이,서울특별시 은평구 통일로87길 8-1 (갈현동),39,126.9187804084,37.6235354372,http://tong.visitkorea.or.kr/cms/resource/67/2875267_image2_1.jpg,
감꽃당,서울특별시 종로구 돈화문로11다길 38,39,126.9900725369,37.5738480486,http://tong.visitkorea.or.kr/cms/resource/24/2622724_image2_1.jpg,02-747-3999
감나무집기사식당,서울특별시 마포구 연남로 25 (연남동),39,126.9219151974,37.5619509880,http://tong.visitkorea.or.kr/cms/resource/14/2843814_image2_1.jpg,
감동식당,서울특별시 노원구 한글비석로47길 58,39,127.0665963946,37.6617086556,http://tong.visitkorea.or.kr/cms/resource/94/2832994_image2_1.jpg,
감로암(서울),서울특별시 종로구 율곡로23길 16 (충신동),12,127.0066515383,37.5753815016,http://tong.visitkorea.or.kr/cms/resource/22/3481922_image2_1.jpg,
값진식육,서울특별시 영등포구 선유로 58-4 (문래동3가),39,126.8896998979,37.5190803938,http://tong.visitkorea.or.kr/cms/resource/81/2851581_image2_1.jpg,
갓포아키 도산공원점,서울특별시 강남구 도산대로45길 8-3 쿠키빌딩,39,127.0362419924,37.5230742215,http://tong.visitkorea.or.kr/cms/resource/72/2869772_image2_1.jpg,
갓포준 x 에스테반,서울특별시 강남구 논현로163길 10 (신사동),39,127.0273372138,37.5242544800,http://tong.visitkorea.or.kr/cms/resource/90/2869790_image2_1.jpg,
강강술래 신림동,서울특별시 관악구 남부순환로 1660,39,126.9350272959,37.4845518811,,
강남,서울특별시 강남구 압구정로 161 (압구정동),12,127.0270732739,37.5268958352,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,
강남 마이스 관광특구,서울특별시 강남구 영동대로 513 (삼성동),12,127.0592179950,37.5119175967,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image2_1.jpg,
강남 미디어 윈터페스타,서울특별시 강남구 영동대로 511 (삼성동),15,127.0610512042,37.5103955843,http://tong.visitkorea.or.kr/cms/resource/54/3579654_image2_1.jpg,02-6000-0114
강남고속터미널 혼수상가,서울특별시 서초구 신반포로 194 (반포동),38,127.0055841495,37.5062061855,http://tong.visitkorea.or.kr/cms/resource/32/3527832_image2_1.jpg,
강남목장,서울특별시 강남구 논현로86길 34,39,127.0402783799,37.5003213806,,02-562-7003
강남문화원,서울특별시 강남구 논현로131길 40 (논현동),14,127.0271208603,37.5139001229,http://tong.visitkorea.or.kr/cms/resource/11/3507911_image2_1.jpg,
강남스테이힐(Gangnam Stay Hill),서울특별시 강남구 테헤란로13길 65,32,127.0301236613,37.5034291706,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,010-2746-7882
강남아르누보씨티호텔,서울특별시 서초구 서초대로74길 49 (서초동),32,127.0281518997,37.4934664031,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,02-580-7300/7400
강남역데이원의원,서울특별시 서초구 강남대로 423 (서초동),38,127.0261602197,37.5003683433,http://tong.visitkorea.or.kr/cms/resource/33/3313933_image2_1.jpg,
강남진해장,서울특별시 강남구 테헤란로5길 11 (역삼동),39,127.0292766253,37.4995434958,http://tong.visitkorea.or.kr/cms/resource/61/2871461_image2_1.jpg,
강남청년축제,서울특별시 강남구 도산대로45길 20 (신사동),15,127.0356170227,37.5240046579,http://tong.visitkorea.or.kr/cms/resource/97/3540997_image2_1.jpg,010-9771-2090
강남청소년센터,서울특별시 강남구 영동대로131길 26 (청담동),28,127.0540626647,37.5205165055,http://tong.visitkorea.or.kr/cms/resource/49/3495049_image2_1.jpg,
강동그린웨이 가족캠핑장,서울특별시 강동구 천호대로206길 87 (둔촌동),28,127.1541058996,37.5359248528,http://tong.visitkorea.or.kr/cms/resource/30/3548030_image2_1.jpg,
강동문화원,서울특별시 강동구 상암로 168 (천호동),14,127.1412345681,37.5457706995,http://tong.visitkorea.or.kr/cms/resource/98/3476898_image2_1.JPG,
강동반상,서울특별시 강동구 상일로6길 39 강동타워,39,127.1753646796,37.5498569527,http://tong.visitkorea.or.kr/cms/resource/86/2839486_image2_1.jpg,
강동북페스티벌,서울특별시 강동구 양재대로84길 63 (둔촌동),15,127.1369827856,37.5244036592,http://tong.visitkorea.or.kr/cms/resource/89/3567889_image2_1.jpg,02-2045-7919
강동선사문화축제,서울특별시 강동구 올림픽로 875 (암사동),15,127.1306157102,37.5591134023,http://tong.visitkorea.or.kr/cms/resource/77/3541977_image2_1.jpg,02-3425-5240
강동숲속도서관,서울특별시 강동구 구천면로 587 (상일동),14,127.1638101348,37.5512926876,http://tong.visitkorea.or.kr/cms/resource/85/3536885_image2_1.jpg,
강동아트센터,서울특별시 강동구 동남로 870 (상일동),14,127.1574079432,37.5511370351,http://tong.visitkorea.or.kr/cms/resource/71/3566871_image2_1.jpg,
강동역점JDX,서울특별시 강동구 천호대로1084,38,127.1321440179,37.5356244907,http://tong.visitkorea.or.kr/cms/resource/91/2878891_image2_1.jpg,
강동예찬시비,서울특별시 강동구 구천면로 141 (천호동),12,127.1207892964,37.5426290283,http://tong.visitkorea.or.kr/cms/resource/55/3508255_image2_1.jpg,
강동해물찜해천탕,서울특별시 강동구 양재대로 1416,39,127.1385935255,37.5323083258,http://tong.visitkorea.or.kr/cms/resource/99/2839499_image2_1.jpg,
강변스파랜드,서울특별시 광진구 구의강변로 45 (구의동),12,127.0913227521,37.5349377239,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,
강북구 어린이날 대축제,서울특별시 강북구 월계로 173 (번동),15,127.0445440464,37.6197242510,http://tong.visitkorea.or.kr/cms/resource/55/3487455_image2_1.jpg,02-554-9795
강북문화원,서울특별시 강북구 삼각산로 85,14,127.0133101828,37.6408434551,http://tong.visitkorea.or.kr/cms/resource/33/1894733_image2_1.jpg,
강북의 오래된 길을 따라 걷다,,25,126.9937770548,37.5985313567,,
강북청소년축제 강추,서울특별시 강북구 도봉로76가길 55 (미아동),15,127.0274174771,37.6321225012,http://tong.visitkorea.or.kr/cms/resource/50/3539950_image2_1.jpg,02-901-2503
강서 아이들 까치까치 페스티벌,서울특별시 강서구 우장산로 66 (내발산동),15,126.8436392403,37.5534894617,http://tong.visitkorea.or.kr/cms/resource/73/3489673_image2_1.JPG,02-2600-6970
강서구 다문화축제,서울특별시 강서구 강서로5길 50 (화곡동),15,126.8489199998,37.5291062796,http://tong.visitkorea.or.kr/cms/resource/01/3489701_image2_1.jpg,02-2600-6763<br>02-2606-2017
강서농산물도매시장,서울특별시 강서구 발산로 40 (외발산동),38,126.8216495158,37.5557499181,http://tong.visitkorea.or.kr/cms/resource/22/3589922_image2_1.jpg,
강서면옥,서울특별시 중구 세종대로11길 35,39,126.9739382319,37.5619935812,,02-752-1945
강서별빛우주과학관,서울특별시 강서구 금낭화로 178 (방화동),14,126.8146355542,37.5810885136,http://tong.visitkorea.or.kr/cms/resource/03/3304103_image2_1.jpg,
강서봄빛페스타,서울특별시 강서구 금낭화로 178 (방화동),15,126.8146355542,37.5810885136,http://tong.visitkorea.or.kr/cms/resource/06/3483006_image2_1.jpg,02-2600-6634
강서습지생태공원,서울특별시 강서구 양천로27길 279-23,12,126.8171490732,37.5860879769,http://tong.visitkorea.or.kr/cms/resource/70/3526770_image2_1.jpg,
강서아트리움,서울특별시 강서구 가로공원로 195 (화곡동),14,126.8376513443,37.5376050905,http://tong.visitkorea.or.kr/cms/resource/69/3386169_image2_1.JPG,
강서어린이 동화축제,서울특별시 강서구 방화동,15,126.8132078893,37.5816995274,http://tong.visitkorea.or.kr/cms/resource/19/3495419_image2_1.jpg,02-2600-6975
강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),12,126.8366643489,37.5722343802,http://tong.visitkorea.or.kr/cms/resource/09/3045109_image2_1.jpg,
강서청소년회관,서울특별시 강서구 공항대로42길 23-19,28,126.8442724314,37.5564807920,http://tong.visitkorea.or.kr/cms/resource/55/3437455_image2_1.jpg,02-3664-2456~8
강서한강공원,서울특별시 강서구 양천로27길 279-23 (방화동),12,126.8171601831,37.5860935311,http://tong.visitkorea.or.kr/cms/resource/91/3509791_image2_1.jpg,
강수사,서울특별시 서대문구 연희로 157 (연희동),39,126.9342193638,37.5714167743,http://tong.visitkorea.or.kr/cms/resource/18/2900318_image2_1.jpg,
강촌쌈밥,서울특별시 종로구 평창30길 9,39,126.9747812177,37.6107629270,http://tong.visitkorea.or.kr/cms/resource/54/2847154_image2_1.jpg,
갗,서울특별시 종로구 난계로27길 30-8 (숭인동),39,127.0215141284,37.5734236629,http://tong.visitkorea.or.kr/cms/resource/56/3488056_image2_1.jpg,
개봉유수지 생태공원,서울특별시 구로구 개봉동,12,126.8632141714,37.4924524597,http://tong.visitkorea.or.kr/cms/resource/55/3558655_image2_1.jpg,
개봉중앙시장,서울특별시 구로구 개봉로17길 34 (개봉동),38,126.8538844883,37.4916357215,http://tong.visitkorea.or.kr/cms/resource/61/3558661_image2_1.jpg,
개뿔,서울특별시 종로구 낙산성곽서1길 26 (이화동),39,127.0080624399,37.5782311958,http://tong.visitkorea.or.kr/cms/resource/05/2848105_image2_1.jpg,
개성만두 궁,서울특별시 종로구 인사동10길 11-3 (관훈동),39,126.9854257249,37.5743229103,,02-733-9240
개운사(서울),서울특별시 성북구 개운사길 73 (안암동5가),12,127.0282880342,37.5902162775,http://tong.visitkorea.or.kr/cms/resource/01/3524101_image2_1.jpg,
개화,서울특별시 중구 남대문로 52-5 (명동2가),39,126.9818402861,37.5621214856,http://tong.visitkorea.or.kr/cms/resource/96/3474896_image2_1.jpg,02-776-0508
개화산 호국공원,서울특별시 강서구 개화동,12,126.8045142510,37.5812522032,http://tong.visitkorea.or.kr/cms/resource/69/3383069_image2_1.JPG,
개화산장,서울특별시 강서구 개화동로19길 6-53 (방화동),39,126.8039700643,37.5738613860,http://tong.visitkorea.or.kr/cms/resource/40/2849640_image2_1.jpg,
개화옥,서울특별시 강남구 압구정로50길 7,39,127.0386083095,37.5277931604,http://tong.visitkorea.or.kr/cms/resource/90/1290490_image2_1.jpg,02-549-1459
갤러리 M,서울특별시 종로구 삼일대로 445,14,126.9869450321,37.5742729433,http://tong.visitkorea.or.kr/cms/resource/21/696721_image2_1.jpg,
갤러리 구루지,서울특별시 구로구 가마산로25길 21,14,126.8894255436,37.4970135079,http://tong.visitkorea.or.kr/cms/resource/14/3392914_image2_1.JPG,
갤러리 나우,서울특별시 강남구 언주로152길 16,14,127.0349865585,37.5228103408,http://tong.visitkorea.or.kr/cms/resource/55/682555_image2_1.jpg,
갤러리 라메르,서울특별시 종로구 인사동5길 26 (관훈동),14,126.9848841554,37.5726342077,http://tong.visitkorea.or.kr/cms/resource/07/2022407_image2_1.jpg,
갤러리 마노,서울특별시 강남구 압구정로46길 71,14,127.0365891542,37.5240907763,http://tong.visitkorea.or.kr/cms/resource/83/2402783_image2_1.jpg,
갤러리 미즈,서울특별시 종로구 삼일대로 461 (경운동),14,126.9862172830,37.5756088859,http://tong.visitkorea.or.kr/cms/resource/11/3384811_image2_1.JPG,
갤러리 비앤에스,서울특별시 종로구 자하문로 273 (부암동),14,126.9619494147,37.5980502858,http://tong.visitkorea.or.kr/cms/resource/25/682325_image2_1.jpg,
갤러리 서림,서울특별시 강남구 학동로 523,14,127.0560652706,37.5201388076,http://tong.visitkorea.or.kr/cms/resource/72/3413872_image2_1.jpg,
갤러리 시몬,서울특별시 종로구 자하문로6길 20,14,126.9732156208,37.5780694778,http://tong.visitkorea.or.kr/cms/resource/42/683542_image2_1.jpg,
갤러리 우림,서울특별시 종로구 인사동10길 18,14,126.9859145721,37.5742229305,http://tong.visitkorea.or.kr/cms/resource/59/682259_image2_1.jpg,
갤러리 원,서울특별시 강남구 압구정로71길 14,14,127.0458882102,37.5275211007,http://tong.visitkorea.or.kr/cms/resource/77/683577_image2_1.jpg,
갤러리 피치,서울특별시 강남구 도산대로87길 25,14,127.0501323005,37.5263824203,http://tong.visitkorea.or.kr/cms/resource/98/1865698_image2_1.jpg,
갤러리 현대,서울특별시 종로구 삼청로 14,14,126.9798039302,37.5773002409,http://tong.visitkorea.or.kr/cms/resource/50/1570450_image2_1.jpg,
갤러리JJ,서울특별시 강남구 압구정로30길 63 (신사동),14,127.0291676299,37.5232962909,http://tong.visitkorea.or.kr/cms/resource/88/3558488_image2_1.jpg,
갤러리도스,서울특별시 종로구 삼청로7길 37 (팔판동),14,126.9797981916,37.5838105948,http://tong.visitkorea.or.kr/cms/resource/09/3499809_image2_1.jpg,
갤러리도올,서울특별시 종로구 삼청로 87 (팔판동),14,126.9816952556,37.5832773580,http://tong.visitkorea.or.kr/cms/resource/49/3540849_image2_1.jpg,
갤러리미,서울특별시 강남구 압구정로 461 네이처 포엠,14,127.0472464824,37.5253102705,,
갤러리미르,서울특별시 종로구 율곡로1길 40 (사간동),14,126.9807316132,37.5776613265,http://tong.visitkorea.or.kr/cms/resource/00/3056300_image2_1.jpg,
갤러리아명품관,서울특별시 강남구 압구정로 407 (압구정동) 갤러리아백화점,38,127.0418357887,37.5279681978,http://tong.visitkorea.or.kr/cms/resource/07/2889307_image2_1.jpg,
갤러리아백화점 명품관,서울특별시 강남구 압구정로 343 (압구정동),38,127.0400692668,37.5285292127,http://tong.visitkorea.or.kr/cms/resource/74/3495074_image2_1.jpg,
갤러리에스피,서울특별시 용산구 회나무로44가길 30,14,126.9943120449,37.5383633594,http://tong.visitkorea.or.kr/cms/resource/03/3589603_image2_1.jpg,
갤러리에이엠 가로수,서울특별시 강남구 논현로159길 66 (신사동),38,127.0231293374,37.5216491514,http://tong.visitkorea.or.kr/cms/resource/69/2879669_image2_1.jpg,
갤러리정,서울특별시 종로구 경희궁2길 12,14,126.9713937114,37.5728728270,http://tong.visitkorea.or.kr/cms/resource/65/696665_image2_1.jpg,
갤러리조선,서울특별시 종로구 북촌로5길 64 (소격동),14,126.9814787020,37.5799860694,http://tong.visitkorea.or.kr/cms/resource/77/3540977_image2_1.jpg,
갤럭시,서울특별시 중구 장충단로13길 20 (을지로6가)6층,38,127.0076821872,37.5687878415,http://tong.visitkorea.or.kr/cms/resource/00/3313500_image2_1.jpg,
갤럭시 롯데 본점,서울특별시 중구 을지로 30,38,126.9810458210,37.5654016461,http://tong.visitkorea.or.kr/cms/resource/87/2890187_image2_1.jpg,
갤럭시 롯데 잠실점,서울특별시 송파구 올림픽로 240 5층,38,127.0976311526,37.5123821225,http://tong.visitkorea.or.kr/cms/resource/91/2879291_image2_1.jpg,
갤럭시 신세계강남점,서울특별시 서초구 신반포로 176,38,127.0035815712,37.5056062193,http://tong.visitkorea.or.kr/cms/resource/67/2890167_image2_1.jpg,
갤럭시 현대 디큐브,서울특별시 구로구 경인로 662,38,126.8884169673,37.5089148857,http://tong.visitkorea.or.kr/cms/resource/72/2880172_image2_1.jpg,
갤럭시 현대 목동점,서울특별시 양천구 목동동로257,38,126.8747288364,37.5263292843,http://tong.visitkorea.or.kr/cms/resource/37/2880137_image2_1.jpg,
갤럭시라이프스타일 신세계 강남점,서울특별시 서초구 신반포로 176,38,127.0035815712,37.5056062193,http://tong.visitkorea.or.kr/cms/resource/05/2880005_image2_1.jpg,
갤럭시라이프스타일 현대 목동점,서울특별시 양천구 목동동로257,38,126.8747288364,37.5263292843,http://tong.visitkorea.or.kr/cms/resource/36/2880136_image2_1.jpg,
갤럭시라이프스타일 현대 미아점,서울특별시 성북구 동소문로 315,38,127.0287930253,37.6084530555,,
갯마을,서울특별시 용산구 서빙고로 56 (한강로3가),39,126.9703535474,37.5230897040,,02-795-2277
갯마을풍천장어,서울특별시 도봉구 도봉산4나길 12-10,39,127.0431866722,37.6878635234,http://tong.visitkorea.or.kr/cms/resource/49/399749_image2_1.jpg,02-955-3396
거리공원,서울특별시 구로구 구로동,12,126.8916141621,37.4995521419,http://tong.visitkorea.or.kr/cms/resource/42/3558642_image2_1.jpg,
거북선나루터,서울특별시 용산구 이촌동 302-183,12,126.9676539295,37.5182707714,http://tong.visitkorea.or.kr/cms/resource/02/3446702_image2_1.jpg,
거안(GEOAN),서울특별시 종로구 인사동길 44 (관훈동),38,126.9848674428,37.5743062352,http://tong.visitkorea.or.kr/cms/resource/80/3548780_image2_1.jpg,
거암아트홀,서울특별시 강남구 강남대로 652 (신사동),14,127.0190908729,37.5196576435,http://tong.visitkorea.or.kr/cms/resource/76/3571376_image2_1.jpg,
거울한옥 미러룸,서울특별시 종로구 삼청로2길 40,39,126.9811342849,37.5801193820,,
거창 왕돈까스,서울특별시 영등포구 국제금융로6길 30 (여의도동),39,126.9266186801,37.5217751850,http://tong.visitkorea.or.kr/cms/resource/45/2663445_image2_1.jpg,
건국대학교 박물관,서울특별시 광진구 능동로 120,14,127.0763072274,37.5428781974,http://tong.visitkorea.or.kr/cms/resource/50/3567150_image2_1.jpg,
건국대학교 상허기념도서관,서울특별시 광진구 능동로 120 (화양동),14,127.0717965616,37.5416615911,http://tong.visitkorea.or.kr/cms/resource/49/1502949_image2_1.jpg,
건청궁,서울특별시 종로구 사직로 161 (세종로),12,126.9767375783,37.5760836609,http://tong.visitkorea.or.kr/cms/resource/10/2527110_image2_1.jpg,
게스 두타,서울특별시 중구 장충단로 275,38,127.0088293006,37.5689100708,http://tong.visitkorea.or.kr/cms/resource/24/2878724_image2_1.jpg,
게스 롯데팩토리 가산,서울특별시 금천구 벚꽃로 278 (가산동),38,126.8846459143,37.4795432303,http://tong.visitkorea.or.kr/cms/resource/16/3312916_image2_1.jpg,
게스 현대동대문,서울특별시 중구 장충단로13길 20,38,127.0076821872,37.5687878415,http://tong.visitkorea.or.kr/cms/resource/28/2888228_image2_1.jpg,
게스트하우스강남,서울특별시 강남구 압구정로34길 33,32,127.0309007260,37.5261154387,,010-8282-3580
게임문화축제,서울특별시 중구 청계천로 40 (다동),15,126.9816428989,37.5685818430,http://tong.visitkorea.or.kr/cms/resource/32/3530432_image2_1.png,02-554-6763
겐조 롯데백화점 에비뉴엘 월드타워점,서울특별시 송파구 올림픽로 300¸ 3층,38,127.1040749597,37.5141653654,http://tong.visitkorea.or.kr/cms/resource/35/2879135_image2_1.jpg,
"겨울, 청계천의 빛",서울특별시 중구 태평로1가 1,15,126.9776154729,37.5691317067,http://tong.visitkorea.or.kr/cms/resource/36/3567636_image2_1.jpg,02-904-1159
견지동 불교용품거리,서울특별시 종로구 우정국로 55,38,126.9819927000,37.5744783860,http://tong.visitkorea.or.kr/cms/resource/01/3589201_image2_1.jpg,
겸재문화예술제,서울특별시 강서구 양천로 291 (마곡동),15,126.8366643489,37.5722343802,http://tong.visitkorea.or.kr/cms/resource/49/3495349_image2_1.jpg,"02-2659-2207, 02-2600-6581"
겸재정선미술관,서울특별시 강서구 양천로47길 36,14,126.8384725160,37.5722816289,http://tong.visitkorea.or.kr/cms/resource/83/3526783_image2_1.jpg,
경국사(서울),서울특별시 성북구 보국문로 113-10 (정릉동),12,127.0056310926,37.6139242251,http://tong.visitkorea.or.kr/cms/resource/81/3571681_image2_1.jpg,
경기여고 경운박물관(서울),서울특별시 강남구 삼성로 29,14,127.0656764529,37.4867511901,http://tong.visitkorea.or.kr/cms/resource/99/3393799_image2_1.JPG,
경동시장,서울특별시 동대문구 고산자로36길 3,38,127.0391568047,37.5790899880,http://tong.visitkorea.or.kr/cms/resource/29/3526829_image2_1.jpg,
경동함흥냉면,서울특별시 동대문구 고산자로38길 19,39,127.0396456189,37.5801509845,http://tong.visitkorea.or.kr/cms/resource/42/2789742_image2_1.jpg,
경리단길,서울특별시 용산구 이태원동,12,126.9875154390,37.5384521160,http://tong.visitkorea.or.kr/cms/resource/85/3568185_image2_1.jpg,
경복궁,서울특별시 종로구 사직로 161 (세종로),12,126.9767375783,37.5760836609,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,
경복궁 별빛야행,서울특별시 종로구 사직로 161 (세종로),15,126.9767375783,37.5760836609,http://tong.visitkorea.or.kr/cms/resource/24/3349624_image2_1.png,1522-2295
경복궁 북쪽마을 북촌 즐기기,,25,126.9768042386,37.5760725520,http://tong.visitkorea.or.kr/cms/resource/81/1075281_image2_1.jpg,
경복궁에 맛있는 부엌,서울특별시 종로구 사직로 103,39,126.9702631619,37.5763001859,,
경복식당,"서울특별시 노원구 공릉로39길 10 (공릉동, 대아아파트)",39,127.0788741361,37.6237632891,http://tong.visitkorea.or.kr/cms/resource/04/2875304_image2_1.jpg,
경북 WOW(와)보이소,서울특별시 중구 태평로1가,15,126.9777682330,37.5692566951,http://tong.visitkorea.or.kr/cms/resource/48/3495348_image2_1.jpg,02-797-8760
경성 부민관 폭탄 의거지,서울특별시 중구 세종대로 125 (태평로1가),12,126.9768017026,37.5675596526,http://tong.visitkorea.or.kr/cms/resource/30/3077530_image2_1.JPG,
경의선숲길(연트럴파크),서울특별시 마포구 연남동,28,126.9228151124,37.5620537697,,
경의선책거리,서울특별시 마포구 와우산로37길 35,12,126.9290369242,37.5564989709,http://tong.visitkorea.or.kr/cms/resource/79/3381279_image2_1.jpg,
경인미술관,서울특별시 종로구 인사동10길 11-4 (관훈동),14,126.9854896059,37.5743979023,http://tong.visitkorea.or.kr/cms/resource/34/3499034_image2_1.jpg,
경찰혼,서울특별시 영등포구 국회대로 608 (당산동3가),12,126.9015402823,37.5262992108,http://tong.visitkorea.or.kr/cms/resource/27/3466927_image2_1.jpg,
경창시장,서울특별시 양천구 오목로9길 30 (신월동),38,126.8424040460,37.5248733216,http://tong.visitkorea.or.kr/cms/resource/06/2611306_image2_1.JPG,
경천애인2237,서울특별시 강남구 테헤란로 421 (삼성동),39,127.0525465458,37.5060431587,http://tong.visitkorea.or.kr/cms/resource/27/2855727_image2_1.jpg,
경춘선 공릉숲길 커피축제,서울특별시 노원구 동일로 지하1074 (공릉동),15,127.0730218414,37.6255296448,http://tong.visitkorea.or.kr/cms/resource/14/3490514_image2_1.jpg,02-976-9110<br>02-2116-3488
경춘선숲길,서울특별시 노원구 하계동 107-2,28,127.0694164404,37.6316233163,http://tong.visitkorea.or.kr/cms/resource/58/2650858_image2_1.jpg,
